focal,estimator,experience,industry,region,health,yearFE,sample,identified,b,se
union,between,1,0,1,0,1,trim,1,0.260936,0.045636
union,between,0,1,1,0,0,full,1,0.152446,0.048292
union,between,0,1,1,0,0,nohealth,1,0.148794,0.047994
union,between,0,1,1,0,0,trim,1,0.160371,0.043480
union,between,0,1,1,0,1,full,1,0.152446,0.048292
union,between,0,1,1,0,1,nohealth,1,0.150803,0.048860
union,between,0,1,1,0,1,trim,1,0.150515,0.043190
union,between,1,1,1,0,0,full,1,0.161942,0.048631
union,between,1,1,1,0,0,nohealth,1,0.157626,0.048282
union,between,1,1,1,0,0,trim,1,0.171311,0.043607
union,between,1,1,1,0,1,full,1,0.161942,0.048631
union,between,1,1,1,0,1,nohealth,1,0.160703,0.049203
union,between,1,1,1,0,1,trim,1,0.156074,0.043550
union,between,0,0,0,1,0,full,1,0.249784,0.049852
union,between,0,0,0,1,0,nohealth,1,0.246957,0.049508
union,between,0,0,0,1,0,trim,1,0.261077,0.045727
union,between,0,0,0,1,1,full,1,0.249784,0.049852
union,between,0,0,0,1,1,nohealth,1,0.254355,0.050092
union,between,0,0,0,1,1,trim,1,0.259267,0.045322
union,between,1,0,0,1,0,full,1,0.253366,0.050462
union,between,1,0,0,1,0,nohealth,1,0.250316,0.050039
union,between,1,0,0,1,0,trim,1,0.265050,0.046081
union,between,1,0,0,1,1,full,1,0.253366,0.050462
union,between,1,0,0,1,1,nohealth,1,0.259049,0.050678
union,between,1,0,0,1,1,trim,1,0.256473,0.045928
union,between,0,1,0,1,0,full,1,0.151537,0.048849
union,between,0,1,0,1,0,nohealth,1,0.152844,0.048499
union,between,0,1,0,1,0,trim,1,0.160040,0.044039
union,between,0,1,0,1,1,full,1,0.151537,0.048849
union,between,0,1,0,1,1,nohealth,1,0.157641,0.049369
union,between,0,1,0,1,1,trim,1,0.149225,0.043659
union,between,1,1,0,1,0,full,1,0.161388,0.049268
union,between,1,1,0,1,0,nohealth,1,0.161982,0.048811
union,between,1,1,0,1,0,trim,1,0.170725,0.044260
union,between,1,1,0,1,1,full,1,0.161388,0.049268
union,between,1,1,0,1,1,nohealth,1,0.168092,0.049728
union,between,1,1,0,1,1,trim,1,0.154344,0.044102
union,between,0,0,1,1,0,full,1,0.250530,0.049635
union,between,0,0,1,1,0,nohealth,1,0.248156,0.049284
union,between,0,0,1,1,0,trim,1,0.260658,0.045520
